time [s], current [mA]
0.000000000000000000e+00, 7.500799999999999690e-01
5.000000000000000000e+00, 7.500799999999999690e-01
5.000000000000000000e+00, 5.900800000000000489e-01
7.000000000000000000e+00, 5.900800000000000489e-01
7.000000000000000000e+00, 3.799999999999999667e-04
2.200000000000000000e+01, 3.799999999999999667e-04
2.200000000000000000e+01, 7.500799999999999690e-01
2.700000000000000000e+01, 7.500799999999999690e-01
2.700000000000000000e+01, 5.900800000000000489e-01
2.900000000000000000e+01, 5.900800000000000489e-01
2.900000000000000000e+01, 3.799999999999999667e-04
4.400000000000000000e+01, 3.799999999999999667e-04
4.400000000000000000e+01, 7.500799999999999690e-01
4.900000000000000000e+01, 7.500799999999999690e-01
4.900000000000000000e+01, 5.900800000000000489e-01
5.100000000000000000e+01, 5.900800000000000489e-01
5.100000000000000000e+01, 3.799999999999999667e-04
6.600000000000000000e+01, 3.799999999999999667e-04
6.600000000000000000e+01, 7.500799999999999690e-01
7.100000000000000000e+01, 7.500799999999999690e-01
7.100000000000000000e+01, 5.900800000000000489e-01
7.300000000000000000e+01, 5.900800000000000489e-01
7.300000000000000000e+01, 3.799999999999999667e-04
8.800000000000000000e+01, 3.799999999999999667e-04
8.800000000000000000e+01, 7.500799999999999690e-01
9.300000000000000000e+01, 7.500799999999999690e-01
9.300000000000000000e+01, 5.900800000000000489e-01
9.500000000000000000e+01, 5.900800000000000489e-01
9.500000000000000000e+01, 3.799999999999999667e-04
1.100000000000000000e+02, 3.799999999999999667e-04
